merged_spelling,ipa,langid
{jpn}あきかぜ,a̠ kʲ i k a̠ z e̞,0
{jpn}あきぞら,a̠ kʲ i z o̞ ɾ a̠,0
{jpn}あきびん,a̠ kʲ i bʲ ĩ ɴ,0
{jpn}あきや,a̠ kʲ i j a̠,0
{jpn}あく,a̠ k ɯ̟ᵝ,0
{jpn}あくいあくしょく,a̠ k ɯ̟ᵝ i a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ,0
{jpn}あくいんあっか,a̠ k ɯ̟ᵝ ĩ ɰ̃ a̠ k̚ k a̠,0
{jpn}あくぎゃくひどう,a̠ k ɯ̟ᵝ ɡʲ a̠ k ɯ̟ᵝ ç i d o̞ː,0
{jpn}あくしゅかい,a̠ k ɯ̟ᵝ ɕ ɨᵝ k a̠ i,0
{jpn}あくしゅけん,a̠ k ɯ̟ᵝ ɕ ɨᵝ k ẽ̞ ɴ,0
{jpn}あくしゅみ,a̠ k ɯ̟ᵝ ɕ ɨᵝ mʲ i,0
{jpn}あくせく,a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ,0
{jpn}あくとう,a̠ k ɯ̟ᵝ t o̞ː,0
{jpn}あくとく,a̠ k ɯ̟̊ᵝ t o̞ k ɯ̟ᵝ,0
{jpn}あくにち,a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i,0
{jpn}あくば,a̠ k ɯ̟ᵝ b a̠,0
{jpn}あくび,a̠ k ɯ̟ᵝ bʲ i,0
{jpn}あくむ,a̠ k ɯ̟ᵝ m ɯ̟ᵝ,0
{jpn}あぐり,a̠ ɡ ɯ̟ᵝ ɾʲ i,0
{jpn}あけ,a̠ k e̞,0
{jpn}あけがた,a̠ k e̞ ɡ a̠ t a̠,0
{jpn}あけくれる,a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}あけち,m e̞ː t͡ɕ i,0
{jpn}あけっぱなし,a̠ k e̞ p̚ p a̠ n a̠ ɕ i,0
{jpn}あけはなす,a̠ k e̞ h a̠ n a̠ s ɨᵝ,0
{jpn}あけび,a̠ k e̞ bʲ i,0
{jpn}あけぼの,a̠ k e̞ b o̞ n o̞,0
{jpn}あける,a̠ k e̞ ɾ ɯ̟ᵝ,0
{jpn}あげあげ,a̠ ɡ e̞ a̠ ɡ e̞,0
{jpn}あげは,a̠ ɡ e̞ h a̠,0
{jpn}あげはちょう,a̠ ɡ e̞ h a̠ t͡ɕ o̞ː,0
{jpn}あこがれ,a̠ k o̞ ɡ a̠ ɾ e̞,0
{jpn}あこがれる,a̠ k o̞ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}あご,a̠ ɡ o̞,0
{jpn}あごひげ,a̠ ɡ o̞ ç i ɡ e̞,0
{jpn}あさ,a̠ s a̠,0
{jpn}あさいろ,a̠ s a̠ i ɾ o̞,0
{jpn}あさおき,a̠ s a̠ o̞ kʲ i,0
{jpn}あさくら,a̠ s a̠ k ɯ̟ᵝ ɾ a̠,0
{jpn}あさって,a̠ s a̠ t̚ t e̞,0
{jpn}あさね,a̠ s a̠ n e̞,0
{jpn}あさのかい,a̠ s a̠ n o̞ k a̠ i,0
{jpn}あさひ,a̠ s a̠ ç i̥,0
{jpn}あさひる,a̠ s a̠ ç i ɾ ɯ̟ᵝ,0
{jpn}あざ,a̠ z a̠,0
{jpn}あざとい,a̠ z a̠ t o̞ i,0
{jpn}あざみ,a̠ z a̠ mʲ i,0
{jpn}あざむく,a̠ z a̠ m ɯ̟ᵝ k ɯ̟ᵝ,0
{jpn}あざやか,a̠ z a̠ j a̠ k a̠,0
{jpn}あざらし,a̠ z a̠ ɾ a̠ ɕ i,0
{jpn}あざわらう,a̠ z a̠ ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ,0
{jpn}あしたれぼし,a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i,0
{jpn}あしばや,a̠ ɕ i b a̠ j a̠,0
{jpn}あしもと,a̠ ɕ i m o̞ t o̞,0
{jpn}あしゅら,a̠ ɕ ɨᵝ ɾ a̠,0
{jpn}あしゆ,a̠ ɕ i j ɯ̟ᵝ,0
{jpn}あじ,a̠ ʑ i,0
{jpn}あじさい,a̠ ʑ i s a̠ i,0
{jpn}あじむ,a̠ ʑ i m ɯ̟ᵝ,0
{jpn}あじわい,a̠ ʑ i ɰᵝ a̠ i,0
{jpn}あすなろ,a̠ s ɨᵝ n a̠ ɾ o̞,0
{jpn}あずき,a̠ z ɨᵝ kʲ i,0
{jpn}あずさ,a̠ z ɨᵝ s a̠,0
{jpn}あずまくだり,a̠ z ɨᵝ m a̠ k ɯ̟ᵝ d a̠ ɾʲ i,0
{jpn}あずまごと,a̠ z ɨᵝ m a̠ ɡ o̞ t o̞,0
{jpn}あずまや,a̠ z ɨᵝ m a̠ j a̠,0
{jpn}あせ,a̠ s e̞,0
{jpn}あそびば,a̠ s o̞ bʲ i b a̠,0
{jpn}あそん,a̠ s õ̞ ɴ,0
{jpn}あたえる,a̠ t a̠ e̞ ɾ ɯ̟ᵝ,0
{jpn}あたくし,a̠ t a̠ k ɯ̟̊ᵝ ɕ i,0
{jpn}あたご,a̠ t a̠ ɡ o̞,0
{jpn}あたし,a̠ t a̠ ɕ i,0
{jpn}あたたかい,a̠ t a̠ t a̠ k a̠ i,0
{jpn}あたためる,a̠ t a̠ t a̠ m e̞ ɾ ɯ̟ᵝ,0
{jpn}あたまじらみ,a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i,0
{jpn}あだ,a̠ d a̠,0
{jpn}あだな,a̠ d a̠ n a̠,0
{jpn}あだばな,a̠ d a̠ b a̠ n a̠,0
{jpn}あちら,a̠ t͡ɕ i ɾ a̠,0
{jpn}あっけない,a̠ k̚ k e̞ n a̠ i,0
{jpn}あっさく,a̠ sː a̠ k ɯ̟ᵝ,0
{jpn}あっさり,a̠ sː a̠ ɾʲ i,0
{jpn}あったかい,a̠ t̚ t a̠ k a̠ i,0
{jpn}あっというま,a̠ t̚ t o̞ i ɯ̟ᵝ m a̠,0
{jpn}あっといわせる,a̠ t̚ t o̞ i ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ,0
{jpn}あっとうてき,a̠ t̚ t o̞ː t e̞ kʲ i,0
{jpn}あっとおどろく,a̠ t̚ t o̞ o̞ d o̞ ɾ o̞ k ɯ̟ᵝ,0
{jpn}あつ,a̠ t͡s ɨᵝ,0
{jpn}あつあつ,a̠ t͡s ɨᵝ a̠ t͡s ɨᵝ,0
{jpn}あつい,a̠ t͡s ɨᵝ i,0
{jpn}あつくるしい,a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː,0
{jpn}あつし,a̠ t͡s ɨᵝ ɕ i,0
{jpn}あつひろ,a̠ t͡s ɨᵝ ç i ɾ o̞,0
{jpn}あつまる,a̠ t͡s ɨᵝ m a̠ ɾ ɯ̟ᵝ,0
{jpn}あつめる,a̠ t͡s ɨᵝ m e̞ ɾ ɯ̟ᵝ,0
{jpn}あつらえる,a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ,0
{jpn}あつりょくなべ,a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ n a̠ b e̞,0
{jpn}あて,a̠ t e̞,0
{jpn}あてこむ,a̠ t e̞ k o̞ m ɯ̟ᵝ,0
{jpn}あてじ,a̠ t e̞ ʑ i,0
{jpn}あてにげ,a̠ t e̞ ɲ̟ i ɡ e̞,0
{jpn}あてはめる,a̠ t e̞ h a̠ m e̞ ɾ ɯ̟ᵝ,0
{jpn}あてる,a̠ t e̞ ɾ ɯ̟ᵝ,0
{jpn}あと,a̠ t o̞,0
{jpn}あとかぶ,a̠ t o̞ k a̠ b ɯ̟ᵝ,0
{jpn}あとがき,a̠ t o̞ ɡ a̠ kʲ i,0
{jpn}あとのまつり,a̠ t o̞ n o̞ m a̠ t͡s ɨᵝ ɾʲ i,0
{jpn}あとり,a̠ t o̞ ɾʲ i,0
{jpn}あどけない,a̠ d o̞ k e̞ n a̠ i,0
{jpn}あな,a̠ n a̠,0
{jpn}あなた,a̠ n a̠ t a̠,0
{jpn}あなどり,a̠ n a̠ d o̞ ɾʲ i,0
{jpn}あなどる,a̠ n a̠ d o̞ ɾ ɯ̟ᵝ,0
{jpn}あに,a̠ ɲ̟ i,0
{jpn}あにき,a̠ ɲ̟ i kʲ i,0
{jpn}あね,a̠ n e̞,0
{jpn}あの,a̠ n o̞,0
{jpn}あのう,a̠ n o̞ː,0
{jpn}あのかた,a̠ n o̞ k a̠ t a̠,0
{jpn}あのかたがた,a̠ n o̞ k a̠ t a̠ ɡ a̠ t a̠,0
{jpn}あばく,a̠ b a̠ k ɯ̟ᵝ,0
{jpn}あばずれ,a̠ b a̠ z ɨᵝ ɾ e̞,0
{jpn}あばら,a̠ b a̠ ɾ a̠,0
{jpn}あばれる,a̠ b a̠ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}あひさん,a̠ ç i s ã̠ ɴ,0
{jpn}あびこ,a̠ bʲ i k o̞,0
{jpn}あびる,a̠ bʲ i ɾ ɯ̟ᵝ,0
{jpn}あふれでる,a̠ ɸ ɯ̟ᵝ ɾ e̞ d e̞ ɾ ɯ̟ᵝ,0
{jpn}あふれる,a̠ ɸ ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}あぶ,a̠ b ɯ̟ᵝ,0
{jpn}あぶない,a̠ b ɯ̟ᵝ n a̠ i,0
{jpn}あぶら,a̠ b ɯ̟ᵝ ɾ a̠,0
{jpn}あぶらとりがみ,a̠ b ɯ̟ᵝ ɾ a̠ t o̞ ɾʲ i ɡ a̠ mʲ i,0
{jpn}あぶる,a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ,0
{jpn}あへん,a̠ h ẽ̞ ɴ,0
{jpn}あほくさい,a̠ h o̞ k ɯ̟ᵝ s a̠ i,0
{jpn}あま,a̠ m a̠,0
{jpn}あまい,a̠ m a̠ i,0
{jpn}あまぐも,a̠ m a̠ ɡ ɯ̟ᵝ m o̞,0
{jpn}あまっちょろい,a̠ m a̠ t̚ t͡ɕ o̞ ɾ o̞ i,0
{jpn}あまてらす,a̠ m a̠ t e̞ ɾ a̠ s ɨᵝ,0
{jpn}あまでら,a̠ m a̠ d e̞ ɾ a̠,0
{jpn}あまねく,a̠ m a̠ n e̞ k ɯ̟ᵝ,0
{jpn}あまのがわ,a̠ m a̠ n o̞ ɡ a̠ ɰᵝ a̠,0
{jpn}あまのじゃく,a̠ m a̠ n o̞ ʑ a̠ k ɯ̟ᵝ,0
{jpn}あまのむらくものつるぎ,a̠ m a̠ n o̞ m ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ m o̞ n o̞ t͡s ɨᵝ ɾ ɯ̟ᵝ ɡʲ i,0
{jpn}あまみ,a̠ m a̠ mʲ i,0
{jpn}あまやかす,a̠ m a̠ j a̠ k a̠ s ɨᵝ,0
{jpn}あみ,a̠ mʲ i,0
{jpn}あみだな,a̠ mʲ i d a̠ n a̠,0
{jpn}あみめにしきへび,a̠ mʲ i m e̞ ɲ̟ i ɕ i kʲ i h e̞ bʲ i,0
{jpn}あみもの,a̠ mʲ i m o̞ n o̞,0
{jpn}あむ,a̠ m ɯ̟ᵝ,0
{jpn}あめあがり,a̠ m e̞ a̠ ɡ a̠ ɾʲ i,0
{jpn}あめだま,a̠ m e̞ d a̠ m a̠,0
{jpn}あめのした,a̠ m e̞ n o̞ ɕ i̥ t a̠,0
{jpn}あめもよう,a̠ m e̞ m o̞ j o̞ː,0
{jpn}あもく,a̠ m o̞ k ɯ̟ᵝ,0
{jpn}あやうい,a̠ j a̠ ɯ̟ᵝ i,0
{jpn}あやかる,a̠ j a̠ k a̠ ɾ ɯ̟ᵝ,0
{jpn}あやとり,a̠ j a̠ t o̞ ɾʲ i,0
{jpn}あやぶむ,a̠ j a̠ b ɯ̟ᵝ m ɯ̟ᵝ,0
{jpn}あやまる,a̠ j a̠ m a̠ ɾ ɯ̟ᵝ,0
{jpn}あやめ,a̠ j a̠ m e̞,0
{jpn}あやめる,a̠ j a̠ m e̞ ɾ ɯ̟ᵝ,0
{jpn}あゆ,a̠ j ɯ̟ᵝ,0
{jpn}あゆみ,a̠ j ɯ̟ᵝ mʲ i,0
{jpn}あゆむ,a̠ j ɯ̟ᵝ m ɯ̟ᵝ,0
{jpn}あら,a̠ ɾ a̠,0
{jpn}あらあら,a̠ ɾ a̠ː ɾ a̠,0
{jpn}あらい,a̠ ɾ a̠ i,0
{jpn}あらう,a̠ ɾ a̠ ɯ̟ᵝ,0
{jpn}あらかた,a̠ ɾ a̠ k a̠ t a̠,0
{jpn}あらかん,a̠ ɾ a̠ k ã̠ ɴ,0
{jpn}あらがう,a̠ ɾ a̠ ɡ a̠ ɯ̟ᵝ,0
{jpn}あらけずり,a̠ ɾ a̠ k e̞ z ɨᵝ ɾʲ i,0
{jpn}あらし,a̠ ɾ a̠ ɕ i,0
{jpn}あらす,a̠ ɾ a̠ s ɨᵝ,0
{jpn}あらすじ,a̠ ɾ a̠ s ɨᵝ ʑ i,0
{jpn}あらた,a̠ ɾ a̠ t a̠,0
{jpn}あらたまる,a̠ ɾ a̠ t a̠ m a̠ ɾ ɯ̟ᵝ,0
{jpn}あらて,a̠ ɾ a̠ t e̞,0
{jpn}あらぶる,a̠ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ,0
{jpn}あらまあ,a̠ ɾ a̠ m a̠ː,0
{jpn}あらめ,a̠ ɾ a̠ m e̞,0
{jpn}あらゆる,a̠ ɾ a̠ j ɯ̟ᵝ ɾ ɯ̟ᵝ,0
{jpn}あらら,a̠ ɾ a̠ ɾ a̠,0
{jpn}あられいし,a̠ ɾ a̠ ɾ e̞ i ɕ i,0
{jpn}あられもない,a̠ ɾ a̠ ɾ e̞ m o̞ n a̠ i,0
{jpn}あらわれる,a̠ ɾ a̠ ɰᵝ a̠ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}ありあけ,a̠ ɾʲ i a̠ k e̞,0
{jpn}ありがたい,a̠ ɾʲ i ɡ a̠ t a̠ i,0
{jpn}ありがと,a̠ ɾʲ i ɡ a̠ t o̞,0
{jpn}ありがとう,a̠ ɾʲ i ɡ a̠ t o̞ː,0
{jpn}ありきたり,a̠ ɾʲ i kʲ i t a̠ ɾʲ i,0
{jpn}ありじごく,a̠ ɾʲ i ʑ i ɡ o̞ k ɯ̟ᵝ,0
{jpn}ありのこ,a̠ ɾʲ i n o̞ k o̞,0
{jpn}ありゅうさん,a̠ ɾʲ ɨᵝː s ã̠ ɴ,0
{jpn}ある,a̠ ɾ ɯ̟ᵝ,0
{jpn}あるある,a̠ ɾ ɯ̟ᵝ a̠ ɾ ɯ̟ᵝ,0
{jpn}あるいは,a̠ ɾ ɯ̟ᵝ i ɰᵝ a̠,0
{jpn}あるく,a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ,0
{jpn}あるじ,a̠ ɾ ɯ̟ᵝ ʑ i,0
{jpn}あれ,a̠ ɾ e̞,0
{jpn}あれい,a̠ ɾ e̞ː,0
{jpn}あれこれ,a̠ ɾ e̞ k o̞ ɾ e̞,0
{jpn}あれはだ,a̠ ɾ e̞ h a̠ d a̠,0
{jpn}あれる,a̠ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}あろうことか,a̠ ɾ o̞ː k o̞ t o̞ k a̠,0
{jpn}あわ,a̠ ɰᵝ a̠,0
{jpn}あわす,a̠ ɰᵝ a̠ s ɨᵝ,0
{jpn}あわせる,a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ,0
{jpn}あわただしい,a̠ ɰᵝ a̠ t a̠ d a̠ ɕ i i,0
{jpn}あわだてき,a̠ ɰᵝ a̠ d a̠ t e̞ kʲ i,0
{jpn}あわてる,a̠ ɰᵝ a̠ t e̞ ɾ ɯ̟ᵝ,0
{jpn}あわや,a̠ ɰᵝ a̠ j a̠,0
{jpn}あわよくば,a̠ ɰᵝ a̠ j o̞ k ɯ̟ᵝ b a̠,0
{jpn}あわれ,a̠ ɰᵝ a̠ ɾ e̞,0
{jpn}あわれみ,a̠ ɰᵝ a̠ ɾ e̞ mʲ i,0
{jpn}あん,ã̠ ɴ,0
{jpn}あんうつ,ã̠ ɰ̃ ɯ̟ᵝ t͡s ɨᵝ,0
{jpn}あんきも,ã̠ ŋʲ kʲ i m o̞,0
{jpn}あんこ,ã̠ ŋ k o̞,0
{jpn}あんこう,ã̠ ŋ k o̞ː,0
{jpn}あんこくぶっしつ,ã̠ ŋ k o̞ k ɯ̟ᵝ b ɯ̟ᵝ ɕː i̥ t͡s ɨᵝ,0
{jpn}あんざん,ã̠ n d͡z ã̠ ɴ,0
{jpn}あんざんし,ã̠ n d͡z ã̠ ɰ̃ ɕ i,0
{jpn}あんしじゅつ,ã̠ ɰ̃ ɕ i ʑ ɨᵝ t͡s ɨᵝ,0
{jpn}あんしつ,ã̠ ɰ̃ ɕ i̥ t͡s ɨᵝ,0
{jpn}あんしょ,ã̠ ɰ̃ ɕ o̞,0
{jpn}あんしん,ã̠ ɰ̃ ɕ ĩ ɴ,0
{jpn}あんず,ã̠ n d͡z ɨᵝ,0
{jpn}あんせい,ã̠ ɰ̃ s e̞ː,0
{jpn}あんぜん,ã̠ n d͡z ẽ̞ ɴ,0
{jpn}あんぜんこうきてい,ã̠ n d͡z ẽ̞ ŋ k o̞ː kʲ i t e̞ː,0
{jpn}あんた,ã̠ n t a̠,0
{jpn}あんたい,ã̠ n t a̠ i,0
{jpn}あんちょく,ã̠ ɲ̟ t͡ɕ o̞ k ɯ̟ᵝ,0
{jpn}あんな,ã̠ nː a̠,0
{jpn}あんないしょ,ã̠ nː a̠ i ɕ o̞,0
{jpn}あんなに,ã̠ nː a̠ ɲ̟ i,0
{jpn}あんのじょう,ã̠ nː o̞ ʑ o̞ː,0
{jpn}あんのん,ã̠ nː õ̞ ɴ,0
{jpn}あんまり,ã̠ mː a̠ ɾʲ i,0
{jpn}あんまん,ã̠ mː ã̠ ɴ,0
{jpn}あんもち,ã̠ mː o̞ t͡ɕ i,0
{jpn}あんらくし,ã̠ n ɾ a̠ k ɯ̟ᵝ ɕ i,0
{jpn}いあつ,i a̠ t͡s ɨᵝ,0
{jpn}いあんふ,i ã̠ ɰ̃ ɸ ɯ̟ᵝ,0
{jpn}いいあう,i i a̠ ɯ̟ᵝ,0
{jpn}いいえ,iː e̞,0
{jpn}いいかげん,i i k a̠ ɡ ẽ̞ ɴ,0
{jpn}いいきる,i i kʲ i ɾ ɯ̟ᵝ,0
{jpn}いいこなす,iː k o̞ n a̠ s ɨᵝ,0
{jpn}いいだす,i i d a̠ s ɨᵝ,0
{jpn}いいなずけ,iː n a̠ z ɨᵝ k e̞,0
{jpn}いいんかい,i ĩ ŋ k a̠ i,0
{jpn}いう,i ɯ̟ᵝ,0
{jpn}いえ,i e̞,0
{jpn}いえいえ,i e̞ː e̞,0
{jpn}いおん,i õ̞ ɴ,0
{jpn}いかが,i k a̠ ɡ a̠,0
{jpn}いかがわしい,i k a̠ ɡ a̠ ɰᵝ a̠ ɕ iː,0
{jpn}いかけ,i k a̠ k e̞,0
{jpn}いかけや,i k a̠ k e̞ j a̠,0
{jpn}いかす,i k a̠ s ɨᵝ,0
{jpn}いかだ,i k a̠ d a̠,0
{jpn}いかり,i k a̠ ɾʲ i,0
{jpn}いかれる,i k a̠ ɾ e̞ ɾ ɯ̟ᵝ,0
{jpn}いかん,i k ã̠ ɴ,0
{jpn}いき,i kʲ i,0
{jpn}いきうめ,i kʲ i ɯ̟ᵝ m e̞,0
{jpn}いきおい,i kʲ i o̞ i,0
{jpn}いきか,i kʲ i k a̠,0
{jpn}いきぐすり,i kʲ i ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i,0
{jpn}いきじびき,i kʲ i d͡ʑ i bʲ i kʲ i,0
{jpn}いきなり,i kʲ i n a̠ ɾʲ i,0
{jpn}いきのこる,i kʲ i n o̞ k o̞ ɾ ɯ̟ᵝ,0
{jpn}いきもの,i kʲ i m o̞ n o̞,0
{jpn}いきょう,i kʲ o̞ː,0
{jpn}いきょく,i kʲ o̞ k ɯ̟ᵝ,0
{jpn}いぎ,i ɡʲ i,0
{jpn}いく,i k ɯ̟ᵝ,0
{jpn}いくぐすり,i k ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨᵝ ɾʲ i,0
{jpn}いくせん,i k ɯ̟ᵝ s ẽ̞ ɴ,0
{jpn}いくた,i k ɯ̟ᵝ t a̠,0
{jpn}いくつ,i k ɯ̟ᵝ t͡s ɨᵝ,0
{jpn}いくねん,i k ɯ̟ᵝ n ẽ̞ ɴ,0
{jpn}いくばく,i k ɯ̟ᵝ b a̠ k ɯ̟ᵝ,0
{jpn}いくぶん,i k ɯ̟ᵝ b ɯ̟̃ᵝ ɴ,0
{jpn}いくらか,i k ɯ̟ᵝ ɾ a̠ k a̠,0
{jpn}いけ,i k e̞,0
{jpn}いけいれん,i k e̞ː ɾ ẽ̞ ɴ,0
{jpn}いけにえ,i k e̞ ɲ̟ i e̞,0
{jpn}いけばな,i k e̞ b a̠ n a̠,0
{jpn}いけん,i k ẽ̞ ɴ,0
{jpn}いけんらん,i k ẽ̞ n ɾ ã̠ ɴ,0
{jpn}いこ,i k o̞,0
{jpn}いこみき,i k o̞,0
{jpn}いご,i ɡ o̞,0
{jpn}いさつ,i s a̠ t͡s ɨᵝ,0
{jpn}いさましい,i s a̠ m a̠ ɕ i i,0
{jpn}いざ,i z a̠,0
{jpn}いざなみ,i z a̠ n a̠ mʲ i,0
{jpn}いざよい,i z a̠ j o̞ i,0
{jpn}いし,i ɕ i,0
{jpn}いしい,i ɕ iː,0
{jpn}いしかり,i ɕ i k a̠ ɾʲ i,0
{jpn}いしかわけん,i ɕ i k a̠ ɰᵝ a̠ k ẽ̞ ɴ,0
{jpn}いしがんとう,i ɕ i ɡ ã̠ n t o̞ː,0
{jpn}いしだたみ,i ɕ i d a̠ t a̠ mʲ i,0
{jpn}いしだて,i ɕ i d a̠ t e̞,0
{jpn}いしばしをたたいてこわす,i ɕ i b a̠ ɕ i o̞ t a̠ t a̠ i t e̞ k o̞ ɰᵝ a̠ s ɨᵝ,0
{jpn}いしばしをたたいてわたる,i ɕ i b a̠ ɕ i o̞ t a̠ t a̠ i t e̞ ɰᵝ a̠ t a̠ ɾ ɯ̟ᵝ,0
{jpn}いしゅう,i ɕ ɨᵝː,0
{jpn}いしゅく,i ɕ ɨᵝ k ɯ̟ᵝ,0
{jpn}いしょ,i ɕ o̞,0
{jpn}いしょく,i ɕ o̞ k ɯ̟ᵝ,0
{jpn}いしわた,i ɕ i ɰᵝ a̠ t a̠,0
{jpn}いしん,i ɕ ĩ ɴ,0
{jpn}いじ,i ʑ i,0
{jpn}いじいじ,i ʑ i i ʑ i,0
{jpn}いじめる,i ʑ i m e̞ ɾ ɯ̟ᵝ,0
{jpn}いじる,i ʑ i ɾ ɯ̟ᵝ,0
{jpn}いじわる,i ʑ i ɰᵝ a̠ ɾ ɯ̟ᵝ,0
